Wyniki_obliczen_Geodezyjnych; n, e, u.

|                        n                         |                        e                         |                        u                         |

|0.012269119735077036|-0.0070543802957008465|-0.002388391799976548|
|0.013289507253904568|-0.001540022345860733|-0.005478806548973814|
|0.013733725185829814|-0.002174008196245567|-0.002580404214828151|
|0.013881797018340377|-0.0023853379410556353|-0.0016142703087320472|
|-0.029817002519393662|-0.00972533552264512|0.004512671963236817|
|0.0009951253010591107|0.009035734928650825|-0.0023162942344782623|
|0.013469155867419754|-0.00353907832417131|-0.002838444103974987|
|0.013888110432206544|-0.0006516861288185384|0.0008340794282482355|
|-0.031124400546575892|-0.0008887823480675234|0.005610859954705251|
|0.004211350982431828|0.004445573894087263|-0.0007080938754714669|
|-0.008454278509897382|-0.007103420938439373|-0.0002580404327848296|
|0.00819602097206228|0.007472002863132491|0.0024483493929906243|
