Wyniki transformacji flh22000_92:
F, L, H, X92, Y92, X00, Y00
52.09727221932674, 21.03153333279777, 141.39865200128406, 472071.3410713561, 639114.4909222783, 5773722.720951535, 7502160.783244321
52.09727216202465, 21.031533144230153, 141.39981413073838, 472071.33433946315, 639114.4781892536, 5773722.714570457, 7502160.770325724
52.09727212128534, 21.031532955662534, 141.4033434232697, 472071.32944892254, 639114.4654046906, 5773722.710032164, 7502160.757406326
52.097272086066965, 21.031532767094923, 141.40766177140176, 472071.32517217007, 639114.4526029486, 5773722.706108135, 7502160.744486662
52.09727208694975, 21.031533228061544, 141.41011997219175, 472071.3261537282, 639114.4841628452, 5773722.706220072, 7502160.776073795
52.097272119848654, 21.031533177762707, 141.40220054611564, 472071.32971484214, 639114.4806164845, 5773722.709878927, 7502160.772625539
52.097272069945575, 21.03153299757823, 141.40652370732278, 472071.323821594, 639114.4684344346, 5773722.704321318, 7502160.760281028
52.097272061551664, 21.031532805864288, 141.41105289757252, 472071.32252099924, 639114.4553337926, 5773722.7033817, 7502160.74714447
52.097272120043996, 21.0315332542456, 141.40725297946483, 472071.3298831349, 639114.4858527032, 5773722.7099029375, 7502160.777866427
52.097272136411426, 21.031533177762707, 141.40456771105528, 472071.3315561954, 639114.4805649465, 5773722.711721712, 7502160.7726247385
52.097272101798474, 21.03153332234535, 141.40756626985967, 472071.3279852113, 639114.4905723059, 5773722.707874956, 7502160.782533761
52.09727215407214, 21.031533182999517, 141.40557242091745, 472071.3335296465, 639114.4808685594, 5773722.713686808, 7502160.772982731
     3664940.513          1409153.584          5009571.171472071.3335296465639114.48086855945773722.7136868087502160.772982731
